zeit,psi_mem_some_avg10,psi_mem_full_avg10,psi_io_some_avg10,psi_mem_some_total_us,majfault_s,pswpin_s,pswpout_s,memavail_mib,swap_used_mib
07:36:44,0.0,0.0,4.91,38553713,661.7,15.4,0.0,120749,4207
07:36:49,0.0,0.0,9.16,38553713,42.2,0.2,0.0,120656,4207
07:36:54,0.0,0.0,8.12,38553713,84.6,4.0,0.0,120084,4207
07:36:59,0.0,0.0,6.25,38553718,301.3,1.6,0.0,119813,4207
07:37:04,0.0,0.0,6.2,38553771,466.1,13.2,0.0,119922,4207
07:37:09,0.0,0.0,3.52,38553772,5.8,0.0,0.0,119327,4207
07:37:14,0.0,0.0,2.54,38553778,2.2,0.0,0.0,119451,4207
07:37:19,0.0,0.0,1.39,38553778,1.4,0.0,0.0,118863,4207
07:37:24,0.0,0.0,0.93,38553778,52.8,3.2,0.0,116013,4207
07:37:29,0.0,0.0,1.11,38553779,6.6,4.2,0.0,39316,4207
07:37:34,0.0,0.0,0.75,38553779,1.6,0.0,0.0,38876,4207
07:37:39,0.0,0.0,0.41,38553779,1.8,0.0,0.0,38758,4207
07:37:44,0.0,0.0,0.27,38553779,2.6,0.4,0.0,38577,4207
07:37:49,0.0,0.0,0.15,38553779,2.0,0.4,0.0,38420,4207
07:37:54,0.0,0.0,0.1,38553779,3.8,2.2,0.0,38250,4207
07:37:59,0.0,0.0,0.05,38553779,2.0,0.8,0.0,38119,4207
07:38:04,0.0,0.0,0.03,38553779,1.6,0.0,0.0,37998,4207
07:38:09,0.0,0.0,0.01,38553779,2.2,0.4,0.0,37910,4207
07:38:14,0.0,0.0,0.01,38553779,3.0,0.0,0.0,38140,4207
07:38:19,0.0,0.0,0.0,38553779,1.2,0.0,0.0,37746,4207
07:38:24,0.0,0.0,0.0,38553779,5.2,3.8,0.0,37749,4207
07:38:29,0.0,0.0,0.0,38553779,1.6,0.0,0.0,37831,4207
07:38:34,0.0,0.0,0.0,38553779,1.6,0.0,0.0,37750,4207
07:38:39,0.0,0.0,0.0,38553779,1.8,0.0,0.0,37719,4207
07:38:44,0.0,0.0,0.0,38553779,1.8,0.2,0.0,37825,4207
07:38:49,0.0,0.0,0.0,38553779,1.8,0.0,0.0,37806,4207
07:38:54,0.0,0.0,0.0,38553779,5.0,3.4,0.0,37894,4207
07:38:59,0.0,0.0,0.0,38553779,1.8,0.0,0.0,37906,4207
07:39:04,0.0,0.0,0.0,38553779,2.4,0.6,0.0,37913,4207
07:39:09,0.0,0.0,0.0,38553779,1.8,0.0,0.0,37945,4207
07:39:14,0.0,0.0,0.0,38553779,1.6,0.0,0.0,37903,4207
07:39:19,0.0,0.0,0.0,38553779,2.0,0.2,0.0,37850,4207
07:39:24,0.0,0.0,0.0,38553779,4.4,2.6,0.0,37880,4207
07:39:29,0.0,0.0,0.0,38553782,1.8,0.2,0.0,37921,4207
07:39:34,0.0,0.0,0.0,38553782,1.8,0.2,0.0,37939,4207
07:39:39,0.0,0.0,0.0,38553782,1.8,0.0,0.0,38019,4207
07:39:44,0.0,0.0,0.0,38553782,1.8,0.0,0.0,38108,4207
07:39:49,0.0,0.0,0.0,38553782,1.8,0.0,0.0,38190,4207
07:39:54,0.0,0.0,0.0,38553782,3.0,1.2,0.0,38247,4207
07:39:59,0.0,0.0,0.0,38553782,1.0,0.2,0.0,37958,4207
07:40:04,0.0,0.0,0.0,38553782,1.6,0.0,0.0,37992,4207
