t,memavail_mib,swap_used_mib,pswpin,pswpout,pgmajfault,nvme_read_mib,cpu_pct,cpu_max_core_pct,gpu_util,gpu_w,gpu_c,sm_mhz,throttle
07:36:39,121113,4207,5383882,8580622,16263343,0.0,100.0,0.0,2,5.29,57,383,0x0000000000000000
07:36:40,120963,4207,5383891,8580622,16264995,209.6,4.0,30.7,2,5.28,56,383,0x0000000000000000
07:36:41,120871,4207,5383914,8580622,16265302,60.7,10.8,36.0,2,5.24,56,383,0x0000000000000000
07:36:42,120816,4207,5383914,8580622,16265354,18.7,6.0,84.0,2,5.26,56,383,0x0000000000000000
07:36:43,120792,4207,5383958,8580622,16265996,86.7,5.6,72.7,2,5.25,56,383,0x0000000000000000
07:36:44,120748,4207,5383959,8580622,16266002,9.5,7.0,91.1,2,5.27,56,390,0x0000000000000000
07:36:45,120718,4207,5383959,8580622,16266013,12.9,6.0,86.9,2,5.21,56,383,0x0000000000000000
07:36:46,120697,4207,5383959,8580622,16266074,17.7,6.0,63.4,2,5.25,55,383,0x0000000000000000
07:36:47,120688,4207,5383959,8580622,16266074,11.3,4.7,36.8,2,5.24,55,383,0x0000000000000000
07:36:48,120671,4207,5383959,8580622,16266104,28.7,4.6,57.1,2,5.26,55,390,0x0000000000000000
07:36:49,120646,4207,5383963,8580622,16266223,36.7,5.7,56.3,2,5.24,55,383,0x0000000000000000
07:36:50,120613,4207,5383963,8580622,16266311,22.1,6.2,66.7,2,5.22,55,383,0x0000000000000000
07:36:51,120578,4207,5383963,8580622,16266457,26.6,6.7,66.3,2,5.17,55,383,0x0000000000000000
07:36:52,120537,4207,5383980,8580622,16266628,28.6,10.1,80.6,2,5.17,55,383,0x0000000000000000
07:36:53,120232,4207,5383980,8580622,16266635,4.9,11.5,48.5,2,5.17,54,383,0x0000000000000000
07:36:54,120084,4207,5383980,8580622,16266636,0.0,6.4,88.0,2,5.19,54,390,0x0000000000000000
07:36:55,120037,4207,5383980,8580622,16266636,0.1,6.6,100.0,2,5.13,54,383,0x0000000000000000
07:36:56,119943,4207,5383980,8580622,16266642,3.2,11.3,96.0,2,5.16,54,383,0x0000000000000000
07:36:57,119933,4207,5383987,8580622,16267134,293.4,5.3,35.7,2,5.16,54,383,0x0000000000000000
07:36:58,119846,4207,5383987,8580622,16267701,73.8,5.0,57.8,2,5.27,54,383,0x0000000000000000
07:36:59,119814,4207,5383988,8580622,16268147,77.8,5.1,73.5,2,5.17,54,383,0x0000000000000000
07:37:00,119465,4207,5383988,8580622,16268174,13.1,6.9,53.0,2,5.14,54,383,0x0000000000000000
07:37:01,119130,4207,5383988,8580622,16268958,74.0,22.6,82.0,2,5.16,54,396,0x0000000000000000
07:37:02,119685,4207,5384027,8580622,16270069,75.2,7.2,99.0,2,5.14,53,383,0x0000000000000000
07:37:03,120141,4207,5384046,8580622,16270464,31.8,5.6,46.0,2,5.13,53,383,0x0000000000000000
