t,memavail_mib,swap_used_mib,pswpin,pswpout,pgmajfault,nvme_read_mib,cpu_pct,cpu_max_core_pct,gpu_util,gpu_w,gpu_c,sm_mhz,throttle
07:06:39,120993,4198,4935120,7872391,14769470,0.1,0.0,0.0,2,5.18,54,383,0x0000000000000000
07:06:39,120852,4198,4935122,7872391,14771049,200.0,2.7,34.6,2,5.12,54,383,0x0000000000000000
07:06:40,120790,4198,4935126,7872391,14771403,58.5,9.3,36.5,2,5.18,53,383,0x0000000000000000
07:06:41,120720,4198,4935126,7872391,14771450,22.9,4.3,59.2,2,5.17,53,390,0x0000000000000000
07:06:42,120691,4198,4935165,7872391,14771673,40.0,4.7,82.3,2,5.14,53,390,0x0000000000000000
07:06:43,120655,4198,4935165,7872391,14772092,56.9,5.1,72.4,2,5.13,53,390,0x0000000000000000
07:06:44,120612,4198,4935165,7872391,14772103,11.0,5.0,87.9,2,5.19,53,383,0x0000000000000000
07:06:45,120590,4198,4935165,7872391,14772133,13.1,4.6,86.3,2,5.32,53,383,0x0000000000000000
07:06:46,120576,4198,4935165,7872391,14772164,15.1,4.3,62.9,2,5.33,53,383,0x0000000000000000
07:06:47,120565,4198,4935165,7872391,14772164,11.2,3.4,55.7,2,5.32,53,383,0x0000000000000000
07:06:48,120529,4198,4935169,7872391,14772198,41.3,4.2,53.6,2,5.33,53,383,0x0000000000000000
07:06:49,120505,4198,4935170,7872391,14772358,30.3,4.4,80.6,2,5.28,52,383,0x0000000000000000
07:06:50,120479,4198,4935196,7872391,14772443,17.4,4.7,83.2,2,5.32,52,383,0x0000000000000000
07:06:51,120433,4198,4935196,7872391,14772591,29.5,10.6,52.9,2,5.31,52,383,0x0000000000000000
07:06:52,120395,4198,4935197,7872391,14772727,24.1,4.5,83.8,2,5.30,52,390,0x0000000000000000
07:06:53,120038,4198,4935197,7872391,14772735,2.7,12.0,58.4,2,5.30,52,383,0x0000000000000000
07:06:54,119942,4198,4935197,7872391,14772735,0.1,5.6,100.0,2,5.27,52,383,0x0000000000000000
07:06:55,119881,4198,4935197,7872391,14772735,0.0,5.6,100.0,2,5.26,52,383,0x0000000000000000
07:06:56,119817,4198,4935197,7872391,14772772,113.3,11.1,56.6,2,5.26,52,390,0x0000000000000000
07:06:57,119791,4198,4935197,7872391,14773274,189.6,4.0,48.5,2,5.29,52,396,0x0000000000000000
07:06:58,119709,4198,4935197,7872391,14773799,71.6,5.2,80.6,2,5.32,52,390,0x0000000000000000
07:06:59,119688,4198,4935198,7872391,14774259,78.2,4.1,71.6,2,5.25,52,390,0x0000000000000000
07:07:00,119160,4198,4935198,7872391,14774274,10.6,16.3,45.5,2,5.24,51,390,0x0000000000000000
07:07:01,118990,4198,4935198,7872391,14775673,114.9,10.6,57.1,2,5.28,51,390,0x0000000000000000
07:07:02,120305,4198,4935207,7872391,14776504,64.0,5.4,67.7,2,5.27,51,390,0x0000000000000000
07:07:03,120238,4198,4935207,7872391,14776504,0.1,5.9,56.1,2,5.31,51,390,0x0000000000000000
07:07:04,119513,4198,4935207,7872391,14776521,15.9,16.6,52.5,2,5.30,51,390,0x0000000000000000
07:07:05,119698,4198,4935207,7872391,14776529,5.2,16.2,57.0,2,5.27,51,390,0x0000000000000000
07:07:06,119546,4198,4935207,7872391,14776529,0.0,5.5,81.8,2,5.21,51,390,0x0000000000000000
07:07:07,119503,4198,4935207,7872391,14776530,0.0,5.5,100.0,2,5.18,51,390,0x0000000000000000
07:07:08,119396,4198,4935207,7872391,14776530,0.0,12.6,99.0,2,5.19,51,390,0x0000000000000000
07:07:09,119304,4198,4935207,7872391,14776530,0.0,5.6,51.0,2,5.21,51,390,0x0000000000000000
07:07:10,118890,4198,4935209,7872391,14776532,0.0,25.4,91.1,2,5.20,51,390,0x0000000000000000
07:07:11,119619,4198,4935209,7872391,14776539,1.8,5.6,49.5,2,5.16,51,390,0x0000000000000000
07:07:12,119411,4198,4935209,7872391,14776539,0.0,5.7,100.0,2,5.14,51,390,0x0000000000000000
07:07:13,119319,4198,4935209,7872391,14776539,0.0,6.2,100.0,2,5.15,50,390,0x0000000000000000
07:07:14,119197,4198,4935209,7872391,14776539,0.1,5.7,99.0,2,5.16,50,390,0x0000000000000000
07:07:15,119092,4198,4935209,7872391,14776539,0.0,5.6,100.0,2,5.16,50,390,0x0000000000000000
07:07:16,119002,4198,4935209,7872391,14776539,0.0,5.6,100.0,2,5.16,50,390,0x0000000000000000
07:07:17,118991,4198,4935209,7872391,14776539,0.0,5.7,100.0,2,5.14,50,390,0x0000000000000000
07:07:18,118644,4198,4935209,7872391,14776545,0.5,12.4,66.3,2,5.14,50,390,0x0000000000000000
07:07:19,118551,4198,4935209,7872391,14776545,0.1,5.5,99.0,2,5.18,50,383,0x0000000000000000
07:07:20,118487,4198,4935223,7872391,14776558,0.1,5.4,98.0,2,5.18,50,390,0x0000000000000000
07:07:21,118423,4198,4935223,7872391,14776558,0.0,11.8,86.0,2,5.17,50,390,0x0000000000000000
07:07:22,118029,4198,4935223,7872391,14776560,0.3,16.8,67.3,2,5.17,50,390,0x0000000000000000
07:07:23,118167,4198,4935223,7872391,14776593,4.9,13.1,77.0,2,5.19,50,390,0x0000000000000000
07:07:24,102241,4198,4935223,7872391,14776793,26.3,6.0,91.9,11,11.63,51,2418,0x0000000000000000
07:07:25,72561,4198,4935223,7872391,14776793,0.0,5.6,100.0,4,11.78,51,2411,0x0000000000000000
07:07:26,42783,4198,4935223,7872391,14776793,0.0,5.6,100.0,4,11.78,51,2411,0x0000000000000000
07:07:27,39319,4198,4935223,7872391,14776805,103.0,5.8,95.0,4,11.77,51,2418,0x0000000000000000
07:07:28,39141,4198,4935223,7872391,14776806,146.8,7.3,93.0,4,12.10,51,2418,0x0000000000000000
07:07:29,39279,4198,4935224,7872391,14776811,141.2,6.6,100.0,4,12.10,51,2418,0x0000000000000000
07:07:30,39107,4198,4935225,7872391,14776812,143.8,6.5,100.0,4,12.10,51,2418,0x0000000000000000
07:07:31,38935,4198,4935225,7872391,14776812,140.0,6.3,100.0,4,12.07,50,2418,0x0000000000000000
07:07:32,39101,4198,4935225,7872391,14776816,139.5,6.4,99.0,4,12.04,50,2418,0x0000000000000000
07:07:33,38928,4198,4935225,7872391,14776817,142.3,7.0,100.0,4,12.07,50,2418,0x0000000000000000
07:07:34,39097,4198,4935225,7872391,14776821,139.5,6.4,100.0,3,12.05,50,2418,0x0000000000000000
07:07:35,38940,4198,4935225,7872391,14776821,141.8,6.3,100.0,4,12.08,50,2418,0x0000000000000000
07:07:36,38763,4198,4935225,7872391,14776821,144.8,6.5,100.0,4,12.06,50,2418,0x0000000000000000
07:07:37,38928,4198,4935225,7872391,14776825,141.4,6.4,100.0,4,12.06,50,2418,0x0000000000000000
07:07:38,38746,4198,4935225,7872391,14776825,147.5,7.0,100.0,4,12.09,50,2418,0x0000000000000000
07:07:39,38903,4198,4935225,7872391,14776830,142.5,6.7,99.0,4,12.06,50,2418,0x0000000000000000
07:07:40,38734,4198,4935225,7872391,14776830,141.8,6.4,100.0,4,12.04,50,2418,0x0000000000000000
07:07:41,38903,4198,4935225,7872391,14776834,127.2,6.4,100.0,4,12.00,50,2418,0x0000000000000000
07:07:42,38747,4198,4935225,7872391,14776834,134.5,6.6,100.0,4,11.95,50,2418,0x0000000000000000
07:07:43,38574,4198,4935225,7872391,14776835,140.6,7.2,100.0,4,12.00,50,2418,0x0000000000000000
07:07:44,38756,4198,4935225,7872391,14776839,126.2,6.7,100.0,4,11.94,50,2418,0x0000000000000000
07:07:45,38608,4198,4935225,7872391,14776839,131.2,6.6,99.0,3,11.93,50,2418,0x0000000000000000
07:07:46,38788,4198,4935225,7872391,14776842,126.0,6.4,100.0,4,11.96,50,2418,0x0000000000000000
07:07:47,38656,4198,4935225,7872391,14776843,125.0,6.5,100.0,4,11.88,50,2418,0x0000000000000000
07:07:48,38518,4198,4935225,7872391,14776844,135.3,7.0,100.0,4,11.96,50,2418,0x0000000000000000
07:07:49,38707,4198,4935225,7872391,14776848,121.9,6.6,100.0,3,11.90,50,2418,0x0000000000000000
07:07:50,38585,4198,4935236,7872391,14776859,130.0,6.7,100.0,4,11.94,50,2418,0x0000000000000000
07:07:51,38449,4198,4935236,7872391,14776860,125.8,6.8,100.0,3,11.88,50,2418,0x0000000000000000
07:07:52,38618,4198,4935236,7872391,14776864,138.0,6.4,99.0,4,11.95,50,2418,0x0000000000000000
07:07:53,38465,4198,4935236,7872391,14776864,141.0,7.1,100.0,3,11.97,50,2418,0x0000000000000000
07:07:54,38638,4198,4935236,7872391,14776868,137.7,6.4,100.0,3,11.94,50,2418,0x0000000000000000
07:07:55,38478,4198,4935236,7872391,14776868,139.0,6.3,100.0,4,11.96,50,2418,0x0000000000000000
07:07:56,38324,4198,4935236,7872391,14776868,139.0,6.4,100.0,3,11.93,50,2418,0x0000000000000000
07:07:57,38489,4198,4935236,7872391,14776872,136.7,6.4,100.0,4,11.90,50,2418,0x0000000000000000
07:07:58,38328,4198,4935236,7872391,14776874,145.1,7.0,100.0,4,11.96,49,2418,0x0000000000000000
07:07:59,38486,4198,4935236,7872391,14776878,140.4,6.6,100.0,4,11.94,49,2418,0x0000000000000000
07:08:00,38327,4198,4935236,7872391,14776878,144.0,6.5,99.0,4,11.95,49,2418,0x0000000000000000
07:08:01,38516,4198,4935236,7872391,14776882,135.7,6.4,100.0,4,11.94,49,2418,0x0000000000000000
07:08:02,38359,4198,4935236,7872391,14776882,141.2,6.5,100.0,4,11.92,49,2418,0x0000000000000000
07:08:03,38205,4198,4935236,7872391,14776885,140.1,6.9,100.0,4,11.95,49,2418,0x0000000000000000
07:08:04,38397,4198,4935236,7872391,14776889,135.0,6.4,100.0,3,11.90,49,2418,0x0000000000000000
07:08:05,38239,4198,4935236,7872391,14776889,137.8,6.2,100.0,4,11.90,49,2418,0x0000000000000000
07:08:06,38426,4198,4935236,7872391,14776893,133.5,6.3,100.0,4,11.87,49,2418,0x0000000000000000
