zeit,psi_mem_some_avg10,psi_mem_full_avg10,psi_io_some_avg10,psi_mem_some_total_us,majfault_s,pswpin_s,pswpout_s,memavail_mib,swap_used_mib
08:07:15,0.0,0.0,2.45,41072181,646.1,1.6,0.0,120742,4234
08:07:20,0.0,0.0,7.04,41072181,23.4,0.0,0.0,120659,4234
08:07:25,0.0,0.0,8.9,41072185,103.6,3.8,0.0,120138,4234
08:07:30,0.0,0.0,6.48,41072185,226.4,0.4,0.0,119842,4234
08:07:35,0.0,0.0,8.07,41072185,534.9,0.0,0.0,120257,4234
08:07:40,0.0,0.0,4.43,41072185,6.6,0.4,0.0,119377,4234
08:07:45,0.0,0.0,3.15,41072211,21.4,7.2,0.0,119487,4234
08:07:50,0.0,0.0,1.72,41072211,1.2,0.0,0.0,118828,4234
08:07:55,0.0,0.0,1.15,41072211,30.0,5.2,0.0,117822,4234
08:08:00,0.0,0.0,1.12,41072211,23.8,0.0,0.0,39060,4234
08:08:05,0.0,0.0,0.75,41072211,3.2,0.2,0.0,38711,4234
08:08:10,0.0,0.0,0.41,41072211,2.4,1.4,0.0,38641,4234
08:08:15,0.0,0.0,0.27,41072211,1.8,0.8,0.0,38723,4234
08:08:20,0.0,0.0,0.15,41072211,2.8,1.2,0.0,38942,4234
08:08:25,0.0,0.0,0.1,41072211,143.4,142.8,0.0,38793,4234
08:08:30,0.0,0.0,0.05,41072211,2.6,1.4,0.0,38650,4234
08:08:35,0.0,0.0,0.03,41072211,1.8,0.0,0.0,38469,4234
08:08:40,0.0,0.0,0.01,41072211,1.8,0.0,0.0,38326,4234
08:08:45,0.0,0.0,0.01,41072211,1.8,0.0,0.0,38228,4234
08:08:50,0.0,0.0,0.0,41072211,1.6,0.0,0.0,38095,4234
08:08:55,0.0,0.0,0.0,41072211,4.6,3.0,0.0,37987,4234
08:09:00,0.0,0.0,0.0,41072211,2.2,0.2,0.0,37866,4234
08:09:05,0.0,0.0,0.0,41072211,3.0,1.2,0.0,38194,4234
08:09:10,0.0,0.0,0.0,41072211,1.8,0.0,0.0,38167,4234
08:09:15,0.0,0.0,0.0,41072211,3.6,3.2,0.0,38039,4233
08:09:20,0.0,0.0,0.0,41072211,1.6,0.0,0.0,37877,4233
08:09:25,0.0,0.0,0.0,41072211,4.0,2.4,0.0,37777,4233
08:09:30,0.0,0.0,0.0,41072211,1.8,0.2,0.0,37779,4233
08:09:35,0.0,0.0,0.0,41072211,2.0,0.0,0.0,37736,4233
08:09:40,0.0,0.0,0.0,41072211,2.4,0.0,0.0,37973,4233
08:09:45,0.0,0.0,0.0,41072211,1.6,0.0,0.0,37979,4233
08:09:50,0.0,0.0,0.0,41072211,1.6,0.0,0.0,37992,4233
08:09:55,0.0,0.0,0.0,41072211,3.2,1.6,0.0,38011,4233
08:10:00,0.0,0.0,0.0,41072211,2.2,0.0,0.0,37988,4233
08:10:05,0.0,0.0,0.0,41072211,1.6,0.0,0.0,37968,4233
08:10:10,0.0,0.0,0.0,41072211,1.6,0.0,0.0,37916,4233
08:10:15,0.0,0.0,0.0,41072211,1.8,0.0,0.0,37793,4233
08:10:20,0.0,0.0,0.0,41072211,2.0,0.4,0.0,37796,4233
08:10:25,0.0,0.0,0.0,41072211,4.6,3.0,0.0,37725,4233
08:10:30,0.0,0.0,0.0,41072211,3.0,0.4,0.0,37965,4233
08:10:35,0.0,0.0,0.0,41072211,1.6,0.0,0.0,37956,4233
08:10:40,0.0,0.0,0.0,41072211,2.0,0.0,0.0,37905,4233
08:10:45,0.0,0.0,0.0,41072211,1.8,0.2,0.0,37896,4233
08:10:50,0.0,0.0,0.0,41072211,2.0,0.0,0.0,37897,4233
08:10:55,0.0,0.0,0.0,41072211,4.2,2.6,0.0,37919,4233
08:11:00,0.0,0.0,0.0,41072211,1.6,0.0,0.0,37955,4233
08:11:05,0.0,0.0,0.0,41072211,2.2,0.8,0.0,37853,4233
08:11:10,0.0,0.0,0.0,41072211,2.2,0.2,0.0,37834,4233
08:11:15,0.0,0.0,0.0,41072211,1.8,0.0,0.0,37811,4233
08:11:20,0.0,0.0,0.0,41072211,4.4,1.6,0.0,38158,4233
08:11:25,0.0,0.0,0.0,41072211,4.0,2.2,0.0,38044,4233
08:11:30,0.0,0.0,0.0,41072211,2.0,0.0,0.0,38026,4233
08:11:35,0.0,0.0,0.0,41072211,1.6,0.0,0.0,37983,4233
08:11:40,0.0,0.0,0.0,41072211,1.8,0.0,0.0,37974,4233
08:11:45,0.0,0.0,0.0,41072211,2.2,0.6,0.0,37980,4233
08:11:50,0.0,0.0,0.0,41072211,1.8,0.0,0.0,37938,4233
08:11:55,0.0,0.0,0.0,41072211,3.2,1.4,0.0,37878,4233
08:12:00,0.0,0.0,0.0,41072211,1.6,0.0,0.0,37849,4233
08:12:05,0.0,0.0,0.0,41072211,1.8,0.0,0.0,37796,4233
08:12:10,0.0,0.0,0.0,41079255,1.8,0.2,0.0,39826,4233
08:12:15,0.0,0.0,0.0,41079255,11.8,0.0,0.0,39560,4233
08:12:20,0.0,0.0,0.0,41079623,1.6,0.0,0.0,39749,4232
08:12:25,0.0,0.0,0.0,41085770,3.8,2.0,18.0,39518,4232
08:12:30,0.0,0.0,0.0,41086504,2.8,0.2,16.4,39420,4232
08:12:35,0.0,0.0,0.0,41086935,2.0,0.0,2.8,39487,4232
08:12:40,0.0,0.0,0.0,41087797,2.2,0.2,2.0,39500,4232
08:12:45,0.0,0.0,0.0,41088146,3.8,0.6,0.8,39429,4232
08:12:50,0.0,0.0,0.0,41091633,4.4,0.0,3.0,39413,4232
08:12:55,0.0,0.0,0.0,41091709,6.0,1.8,0.0,39266,4232
08:13:00,0.0,0.0,0.0,41092165,2.0,0.0,5.2,39273,4232
08:13:05,0.0,0.0,0.0,41093267,17.2,0.4,0.0,39776,4232
08:13:10,0.0,0.0,0.0,41093850,3.2,0.0,1.4,39811,4232
08:13:15,0.0,0.0,0.0,41094141,9.0,0.4,0.2,39765,4232
08:13:20,0.0,0.0,0.0,41094499,3.6,0.0,2.2,39732,4232
08:13:25,0.0,0.0,0.0,41094840,5.0,1.4,2.2,39739,4232
08:13:30,0.0,0.0,0.0,41095803,3.8,0.6,2.8,39449,4232
08:13:35,0.0,0.0,0.0,41096349,10.8,3.8,0.4,39535,4232
08:13:40,0.0,0.0,0.0,41096457,3.0,1.8,1.0,39507,4232
08:13:45,0.0,0.0,0.0,41096796,1.8,0.0,0.2,39411,4232
08:13:50,0.0,0.0,0.0,41097134,1.8,0.0,1.4,39281,4232
08:13:55,0.0,0.0,0.0,41097691,5.4,3.0,0.0,39804,4232
08:14:00,0.0,0.0,0.0,41098212,1.6,0.0,0.2,39390,4232
08:14:05,0.0,0.0,0.0,41098463,2.6,0.6,0.0,39336,4232
08:14:10,0.0,0.0,0.0,41098877,1.6,0.0,0.0,39303,4232
08:14:15,0.0,0.0,0.0,41099758,1.6,0.0,0.0,39509,4232
08:14:20,0.0,0.0,0.0,41100151,2.0,0.0,0.0,39567,4232
08:14:25,0.0,0.0,0.0,41100560,5.2,3.4,0.0,39652,4232
08:14:30,0.0,0.0,0.0,41101089,1.0,0.2,1.4,39302,4232
08:14:35,0.0,0.0,0.0,41101875,2.6,0.4,0.0,39214,4232
08:14:40,0.0,0.0,0.0,41102259,1.8,0.0,0.0,39128,4232
08:14:45,0.0,0.0,0.0,41102742,2.0,0.2,0.0,39578,4232
08:14:50,0.0,0.0,0.0,41102943,2.2,0.0,0.0,39480,4232
08:14:55,0.0,0.0,0.0,41103094,2.8,1.4,0.0,39408,4232
