t,memavail_mib,swap_used_mib,pswpin,pswpout,pgmajfault,nvme_read_mib,cpu_pct,cpu_max_core_pct,gpu_util,gpu_w,gpu_c,sm_mhz,throttle
13:56:13,120906,4229,2249194,4407242,29833073,0.0,0.0,0.0,1,4.68,55,312,0x0000000000000000
13:56:14,120729,4229,2249291,4407242,29835014,235.6,7.6,24.1,1,4.69,55,299,0x0000000000000000
13:56:15,120635,4229,2249317,4407242,29835189,47.0,4.9,34.7,1,4.58,55,260,0x0000000000000000
13:56:16,120590,4229,2249338,4407242,29835249,16.9,4.7,81.8,1,4.57,55,260,0x0000000000000000
13:56:17,120553,4229,2249383,4407242,29835901,85.2,4.7,73.2,0,4.49,54,208,0x0000000000000000
13:56:18,120512,4229,2249386,4407242,29835908,11.2,5.3,90.9,0,4.18,54,208,0x0000000000000000
13:56:19,120479,4229,2249387,4407242,29835919,12.4,4.7,86.9,0,4.14,54,227,0x0000000000000000
13:56:20,120464,4229,2249387,4407242,29836022,23.0,4.4,59.0,0,4.23,54,208,0x0000000000000000
13:56:21,120453,4229,2249401,4407242,29836026,11.6,3.6,65.0,0,4.17,54,208,0x0000000000000000
13:56:22,120427,4229,2249401,4407242,29836056,33.7,3.1,35.9,0,4.09,54,208,0x0000000000000000
13:56:23,120407,4229,2249401,4407242,29836178,33.9,4.2,71.6,0,4.09,53,214,0x0000000000000000
13:56:24,120380,4229,2249401,4407242,29836277,22.4,4.5,83.5,0,4.04,53,208,0x0000000000000000
13:56:25,120349,4229,2249401,4407242,29836425,28.5,10.0,61.9,0,4.04,53,208,0x0000000000000000
13:56:26,120305,4229,2249401,4407242,29836560,24.4,4.2,82.8,1,4.11,53,214,0x0000000000000000
13:56:27,119967,4229,2249401,4407242,29836567,3.5,11.0,56.0,0,4.13,53,208,0x0000000000000000
13:56:28,119853,4229,2249401,4407242,29836568,0.0,5.5,100.0,0,4.13,53,208,0x0000000000000000
13:56:29,119801,4229,2249409,4407242,29836571,0.0,5.8,100.0,0,4.04,53,208,0x0000000000000000
13:56:30,119735,4229,2249409,4407242,29836608,9.0,11.1,71.4,0,4.03,52,208,0x0000000000000000
13:56:31,119714,4229,2249409,4407242,29837104,292.2,3.2,63.4,0,4.03,52,208,0x0000000000000000
13:56:32,119645,4229,2249410,4407242,29837633,72.2,4.3,80.8,0,4.10,52,208,0x0000000000000000
13:56:33,119610,4229,2249410,4407242,29838091,78.9,3.9,69.5,0,4.11,52,208,0x0000000000000000
13:56:34,119103,4229,2249410,4407242,29838107,10.5,17.3,59.0,0,4.09,52,208,0x0000000000000000
13:56:35,118912,4229,2249410,4407242,29839293,100.7,10.5,60.6,0,4.14,52,208,0x0000000000000000
13:56:36,119527,4229,2249436,4407242,29840347,78.0,5.3,83.2,0,4.14,52,208,0x0000000000000000
13:56:37,120234,4229,2249436,4407242,29840371,0.9,4.9,45.5,0,4.03,52,208,0x0000000000000000
13:56:38,119586,4229,2249446,4407242,29840377,12.4,16.2,81.8,0,4.13,52,208,0x0000000000000000
13:56:39,119373,4229,2249447,4407242,29840402,6.7,17.0,74.3,0,4.08,52,208,0x0000000000000000
13:56:40,119210,4229,2249447,4407242,29840402,1.1,6.1,63.4,0,4.00,51,208,0x0000000000000000
13:56:41,119151,4229,2249447,4407242,29840402,0.0,5.1,100.0,0,4.03,51,208,0x0000000000000000
13:56:42,119059,4229,2249447,4407242,29840402,0.0,5.2,100.0,0,4.00,51,208,0x0000000000000000
13:56:43,118986,4229,2249450,4407242,29840404,0.0,11.3,52.0,0,3.94,51,208,0x0000000000000000
13:56:44,118327,4229,2249450,4407242,29840405,0.1,21.4,87.0,0,3.96,51,208,0x0000000000000000
13:56:45,119528,4229,2249450,4407242,29840412,1.7,7.2,69.3,0,3.99,51,214,0x0000000000000000
13:56:46,119315,4229,2249450,4407242,29840412,0.1,5.2,100.0,0,4.01,51,208,0x0000000000000000
13:56:47,119205,4229,2249450,4407242,29840412,0.0,5.1,100.0,0,4.01,51,208,0x0000000000000000
13:56:48,119084,4229,2249450,4407242,29840412,0.0,5.3,98.0,0,3.94,50,208,0x0000000000000000
13:56:49,118949,4229,2249450,4407242,29840412,0.1,5.3,100.0,0,3.98,50,208,0x0000000000000000
13:56:50,118860,4229,2249450,4407242,29840412,0.0,5.1,100.0,0,3.98,50,208,0x0000000000000000
13:56:51,118860,4229,2249450,4407242,29840412,0.0,5.2,100.0,0,3.91,50,208,0x0000000000000000
13:56:52,118497,4229,2249450,4407242,29840418,0.5,11.5,61.6,0,3.89,50,208,0x0000000000000000
