t,memavail_mib,swap_used_mib,pswpin,pswpout,pgmajfault,nvme_read_mib,cpu_pct,cpu_max_core_pct,gpu_util,gpu_w,gpu_c,sm_mhz,throttle
12:55:33,120835,4055,1146233,2669274,14934748,0.1,0.0,0.0,0,4.03,48,208,0x0000000000000000
12:55:34,120685,4055,1146234,2669274,14936432,218.0,2.3,19.5,1,4.14,48,273,0x0000000000000000
12:55:35,120593,4055,1146247,2669274,14936951,76.5,9.8,49.5,1,4.17,48,253,0x0000000000000000
12:55:36,120520,4055,1146251,2669274,14937000,23.6,4.4,42.0,2,4.30,48,325,0x0000000000000000
12:55:37,120503,4055,1146252,2669274,14937507,73.5,4.2,75.5,1,4.15,48,247,0x0000000000000000
12:55:38,120460,4055,1146262,2669274,14937663,27.1,5.9,91.8,0,4.26,48,312,0x0000000000000000
12:55:39,120436,4055,1146262,2669274,14937679,12.2,4.6,87.1,0,3.94,48,208,0x0000000000000000
12:55:40,120416,4055,1146262,2669274,14937715,13.0,4.9,88.1,2,4.03,48,227,0x0000000000000000
12:55:41,120396,4055,1146262,2669274,14937737,13.3,4.4,75.0,1,4.18,47,266,0x0000000000000000
12:55:42,120387,4055,1146262,2669274,14937737,10.8,3.5,50.5,2,4.20,47,266,0x0000000000000000
12:55:43,120361,4055,1146262,2669274,14937852,50.2,4.5,45.5,1,4.25,47,253,0x0000000000000000
12:55:44,120339,4055,1146262,2669274,14938117,43.1,4.7,49.0,3,4.28,47,253,0x0000000000000000
12:55:45,120310,4055,1146262,2669274,14938177,17.4,4.5,80.6,1,4.17,47,292,0x0000000000000000
12:55:46,120263,4055,1146262,2669274,14938330,29.8,10.3,42.3,0,4.16,47,273,0x0000000000000000
12:55:47,120198,4055,1146266,2669274,14938481,26.4,5.1,76.8,1,4.22,47,260,0x0000000000000000
12:55:48,119838,4055,1146266,2669274,14938481,0.0,11.7,59.6,1,4.14,47,253,0x0000000000000000
