zeit,psi_mem_some_avg10,psi_mem_full_avg10,psi_io_some_avg10,psi_mem_some_total_us,majfault_s,pswpin_s,pswpout_s,memavail_mib,swap_used_mib
14:28:49,0.0,0.0,6.87,73325525,663.1,28.6,0.0,120554,4255
14:28:54,0.0,0.0,11.31,73325525,75.4,0.6,0.0,120415,4255
14:28:59,0.0,0.0,8.98,73325527,236.6,6.4,0.0,120241,4255
14:29:04,0.0,0.0,10.73,73325553,213.2,2.2,0.0,119123,4255
14:29:09,0.0,0.0,6.52,73325553,53.6,0.0,0.0,117103,4255
14:29:14,0.0,0.0,4.85,73325553,118.4,4.0,0.0,39535,4255
14:29:19,0.0,0.0,4.86,73325553,1280.2,0.2,0.0,32797,4255
14:29:24,0.0,0.0,4.21,73325553,374.1,0.2,0.0,32673,4255
14:29:29,0.0,0.0,3.45,73325553,374.9,0.4,0.0,32532,4255
14:29:34,0.0,0.0,2.94,73325553,374.3,0.0,0.0,32379,4255
14:29:39,0.0,0.0,2.66,73325553,374.6,0.4,0.0,32240,4255
14:29:44,0.0,0.0,2.59,73325553,375.2,11.8,0.0,32166,4255
14:29:49,0.0,0.0,2.26,73325553,257.6,0.2,0.0,31813,4254
14:29:54,0.0,0.0,2.17,73325553,371.4,0.0,0.0,31857,4254
14:29:59,0.0,0.0,2.12,73325553,373.6,12.0,0.0,31823,4254
14:30:04,0.0,0.0,2.52,73325553,333.2,0.4,0.0,31851,4254
14:30:09,0.0,0.0,2.08,73325553,296.4,0.4,0.0,31461,4254
14:30:14,0.0,0.0,1.87,73325553,371.6,0.0,0.0,31450,4254
14:30:19,0.0,0.0,1.99,73325553,372.4,0.2,0.0,31507,4254
14:30:24,0.0,0.0,1.99,73325553,330.2,0.0,0.0,31492,4254
14:30:29,0.0,0.0,2.26,73325553,349.4,0.2,0.0,31460,4254
14:30:34,0.0,0.0,2.47,73325553,333.0,0.0,0.0,31481,4254
14:30:39,0.0,0.0,2.74,73325553,365.6,0.0,0.0,31115,4254
14:30:44,0.0,0.0,2.5,73325553,372.4,0.4,0.0,31144,4254
14:30:49,0.0,0.0,1.94,73325553,372.8,0.6,0.0,31209,4254
14:30:54,0.0,0.0,2.25,73325553,302.0,0.0,0.0,31266,4254
14:30:59,0.0,0.0,2.41,73325553,324.6,0.4,0.0,30977,4254
14:31:04,0.0,0.0,2.75,73325553,370.6,0.0,0.0,31122,4254
14:31:09,0.0,0.0,2.53,73325553,256.6,0.4,0.0,30844,4254
14:31:14,0.0,0.0,2.5,73325553,371.1,0.0,0.0,30946,4254
14:31:19,0.0,0.0,2.42,73325553,373.4,0.0,0.0,30946,4254
14:31:24,0.0,0.0,3.09,73325553,373.6,0.0,0.0,31019,4254
14:31:29,0.0,0.0,2.86,73325553,374.4,0.0,0.0,31017,4254
14:31:34,0.0,0.0,3.24,73325553,372.6,0.0,0.0,31084,4254
14:31:39,0.0,0.0,3.01,73325553,307.8,0.0,0.0,31079,4254
14:31:44,0.0,0.0,3.0,73325792,329.8,0.0,0.0,33167,4254
14:31:49,0.0,0.0,3.36,73325792,368.0,0.0,0.0,32686,4254
14:31:54,0.0,0.0,3.24,73359014,381.0,0.0,59.2,32934,4255
14:31:59,0.12,0.12,3.07,73378355,410.0,0.2,105.0,33023,4256
14:32:04,0.08,0.08,2.53,73384075,377.2,2.4,294.6,33072,4257
14:32:09,0.04,0.04,2.2,73385781,293.0,2.2,287.0,33213,4257
14:32:14,0.02,0.02,2.32,73387420,371.2,0.4,188.8,32977,4257
14:32:19,0.01,0.01,2.65,73395443,381.6,0.2,157.0,32942,4257
14:32:24,0.0,0.0,2.91,73398080,374.4,1.8,184.2,33171,4258
14:32:29,0.0,0.0,2.95,73398924,263.6,0.0,23.8,32953,4258
14:32:34,0.0,0.0,2.82,73401872,382.6,3.0,182.8,32963,4258
14:32:39,0.0,0.0,2.75,73410242,380.7,1.0,116.2,33169,4260
14:32:44,0.0,0.0,2.65,73413697,468.0,14.6,19.6,33150,4260
14:32:49,0.0,0.0,2.57,73416115,392.9,0.6,46.0,33153,4258
14:32:54,0.0,0.0,2.86,73418879,360.2,0.2,108.2,33183,4258
14:32:59,0.0,0.0,2.77,73426525,382.2,1.0,177.0,33196,4259
14:33:04,0.0,0.0,2.85,73431007,314.2,0.2,234.6,33241,4259
14:33:09,0.0,0.0,2.62,73436289,351.1,0.6,244.4,33247,4259
14:33:14,0.0,0.0,3.04,73439018,380.5,5.2,195.2,33108,4259
14:33:19,0.0,0.0,3.14,73441653,376.3,0.0,109.8,32925,4258
14:33:24,0.0,0.0,3.24,73451341,385.1,1.2,0.0,33019,4258
