t,memavail_mib,swap_used_mib,pswpin,pswpout,pgmajfault,nvme_read_mib,cpu_pct,cpu_max_core_pct,gpu_util,gpu_w,gpu_c,sm_mhz,throttle
14:28:44,120902,4255,2843817,5233020,31420405,0.0,0.0,0.0,0,4.37,56,253,0x0000000000000000
14:28:45,120770,4255,2843931,5233020,31422124,223.6,10.4,41.4,1,4.48,55,208,0x0000000000000000
14:28:46,120660,4255,2843957,5233020,31422774,81.0,3.7,49.5,0,4.29,55,208,0x0000000000000000
14:28:47,120625,4255,2843957,5233020,31423024,48.4,4.0,72.5,0,4.19,56,208,0x0000000000000000
14:28:48,120596,4255,2843960,5233020,31423484,64.4,4.3,77.2,0,4.08,55,208,0x0000000000000000
14:28:49,120556,4255,2843960,5233020,31423503,13.6,4.9,88.9,0,4.12,55,208,0x0000000000000000
14:28:50,120504,4255,2843963,5233020,31423537,12.4,4.7,89.9,0,4.21,55,214,0x0000000000000000
14:28:51,120492,4255,2843963,5233020,31423593,26.0,2.0,19.6,0,4.14,55,208,0x0000000000000000
14:28:52,120460,4255,2843963,5233020,31423595,26.6,2.3,34.0,0,4.14,55,208,0x0000000000000000
14:28:53,120450,4255,2843963,5233020,31423644,34.8,3.3,49.5,0,4.07,54,208,0x0000000000000000
14:28:54,120413,4255,2843963,5233020,31423883,46.0,10.7,70.1,0,4.06,54,208,0x0000000000000000
14:28:55,120387,4255,2843963,5233020,31424016,25.4,4.1,48.0,0,4.04,54,208,0x0000000000000004
14:28:56,120320,4255,2843963,5233020,31424574,76.4,3.9,42.4,0,4.05,54,208,0x0000000000000000
14:28:57,120296,4255,2843995,5233020,31425039,76.8,4.3,53.0,0,4.11,54,208,0x0000000000000000
14:28:58,120281,4255,2843995,5233020,31425063,14.7,4.5,40.0,0,4.09,54,208,0x0000000000000000
14:28:59,120241,4255,2843995,5233020,31425063,7.5,5.1,91.0,0,4.02,54,208,0x0000000000000000
14:29:00,120159,4255,2843995,5233020,31425204,25.6,4.1,68.4,0,4.18,53,227,0x0000000000000000
14:29:01,119932,4255,2843995,5233020,31425588,55.1,3.9,64.6,0,12.30,54,2411,0x0000000000000000
14:29:02,119942,4255,2844006,5233020,31426073,50.2,4.4,59.2,0,12.03,54,2411,0x0000000000000000
14:29:03,119515,4255,2844006,5233020,31426116,11.3,12.8,86.9,0,12.03,54,2411,0x0000000000000000
14:29:04,119106,4255,2844006,5233020,31426129,9.9,15.0,100.0,0,12.05,54,2411,0x0000000000000000
14:29:05,118808,4255,2844006,5233020,31426331,40.8,25.6,100.0,0,12.09,54,2411,0x0000000000000000
14:29:06,118475,4255,2844006,5233020,31426335,2.9,15.2,100.0,0,12.02,54,2411,0x0000000000000000
14:29:07,117907,4255,2844006,5233020,31426335,0.8,15.3,100.0,0,12.00,54,2411,0x0000000000000000
14:29:08,117518,4255,2844006,5233020,31426336,0.3,10.6,100.0,0,12.00,54,2411,0x0000000000000000
14:29:09,117103,4255,2844006,5233020,31426397,6.6,5.4,47.5,3,12.43,54,2411,0x0000000000000000
14:29:10,114070,4255,2844011,5233020,31426517,16.6,6.2,77.0,1,12.59,54,2411,0x0000000000000000
14:29:11,74285,4255,2844011,5233020,31426517,0.0,5.3,100.0,0,12.40,54,2411,0x0000000000000000
14:29:12,61696,4255,2844024,5233020,31426918,49.2,4.7,78.8,11,12.92,54,2411,0x0000000000000000
14:29:13,61677,4255,2844024,5233020,31426986,37.2,4.4,81.0,0,12.10,54,2411,0x0000000000000000
14:29:14,37992,4255,2844026,5233020,31426989,0.2,5.6,99.0,10,18.07,54,2411,0x0000000000000000
14:29:15,33015,4255,2844027,5233020,31428029,276.1,3.5,22.4,0,12.82,54,2411,0x0000000000000000
14:29:16,33058,4255,2844027,5233020,31430216,507.2,2.9,8.2,0,12.08,54,2411,0x0000000000000000
14:29:17,32963,4255,2844027,5233020,31432278,531.3,5.8,37.8,1,12.23,54,2411,0x0000000000000000
14:29:18,32714,4255,2844027,5233020,31432787,240.2,6.9,95.0,2,12.49,54,2411,0x0000000000000000
14:29:19,32784,4255,2844027,5233020,31433392,252.2,6.6,94.9,1,12.45,54,2411,0x0000000000000000
14:29:20,32897,4255,2844027,5233020,31433733,194.9,6.7,98.0,1,12.45,53,2411,0x0000000000000000
14:29:21,32663,4255,2844027,5233020,31434026,184.9,6.6,98.0,2,12.44,53,2411,0x0000000000000000
14:29:22,32787,4255,2844028,5233020,31434630,251.5,6.6,96.0,1,12.43,53,2411,0x0000000000000000
14:29:23,32558,4255,2844028,5233020,31434659,121.8,6.4,100.0,1,12.41,53,2411,0x0000000000000000
14:29:24,32661,4255,2844028,5233020,31435263,259.0,6.9,57.0,2,12.43,53,2411,0x0000000000000000
