zeit,psi_mem_some_avg10,psi_mem_full_avg10,psi_io_some_avg10,psi_mem_some_total_us,majfault_s,pswpin_s,pswpout_s,memavail_mib,swap_used_mib
12:37:43,0.0,0.0,7.64,3526029,660.7,19.2,0.0,119813,3351
12:37:48,0.0,0.0,13.49,3526029,64.4,0.0,0.0,119636,3351
12:37:53,0.0,0.0,10.02,3526029,231.4,0.0,0.0,119474,3351
12:37:58,0.0,0.0,9.53,3526029,248.0,0.0,0.0,118289,3351
12:38:03,0.0,0.0,5.6,3526029,23.4,0.0,0.0,116182,3351
12:38:08,0.0,0.0,4.62,3526029,109.6,0.0,0.0,32237,3351
12:38:13,0.0,0.0,3.89,3526029,1280.2,0.0,0.0,32005,3351
12:38:18,0.0,0.0,3.56,3526029,374.2,0.0,0.0,31901,3351
12:38:23,0.0,0.0,3.18,3526029,381.8,0.0,0.0,31783,3351
12:38:28,0.0,0.0,3.09,3526029,374.3,0.0,0.0,31645,3351
12:38:33,0.0,0.0,2.74,3526029,374.2,0.0,0.0,31514,3351
12:38:38,0.0,0.0,2.98,3526029,373.4,0.0,0.0,31393,3351
12:38:43,0.0,0.0,3.19,3526029,255.2,0.0,0.0,31104,3351
12:38:48,0.0,0.0,3.31,3526029,371.4,0.0,0.0,31075,3351
12:38:53,0.0,0.0,3.56,3526029,375.0,1.0,0.0,30967,3351
12:38:58,0.0,0.0,3.52,3526029,373.4,0.0,0.0,30985,3351
12:39:03,0.0,0.0,3.23,3526029,371.5,0.4,0.0,31123,3351
12:39:08,0.0,0.0,3.41,3526029,256.2,0.0,0.0,30827,3351
12:39:13,0.0,0.0,3.32,3526029,372.0,0.2,0.0,30836,3351
12:39:18,0.0,0.0,3.21,3526029,370.5,0.0,0.0,30903,3351
12:39:23,0.0,0.0,2.6,3526029,257.0,0.2,0.0,30563,3351
12:39:28,0.0,0.0,2.58,3526029,369.9,0.0,0.0,30696,3351
12:39:33,0.0,0.0,2.62,3526029,318.4,0.0,0.0,30783,3351
12:39:38,0.0,0.0,2.53,3526029,398.1,0.0,0.0,30633,3351
12:39:43,0.0,0.0,2.43,3526029,341.6,0.0,0.0,30642,3351
12:39:48,0.0,0.0,2.62,3526029,353.6,0.0,0.0,30697,3351
12:39:53,0.0,0.0,2.28,3526029,337.7,0.2,0.0,30450,3351
12:39:58,0.0,0.0,2.66,3526029,370.5,0.0,0.0,30648,3351
12:40:03,0.0,0.0,2.66,3526029,255.6,0.0,0.0,30437,3351
12:40:08,0.0,0.0,2.95,3526029,371.1,0.0,0.0,30538,3351
12:40:13,0.0,0.0,2.85,3526029,370.8,0.0,0.0,30715,3351
12:40:18,0.0,0.0,3.2,3526029,267.0,0.0,0.0,30887,3351
12:40:23,0.0,0.0,2.93,3526029,364.8,0.0,0.0,30822,3351
12:40:28,0.0,0.0,2.44,3526029,372.6,0.0,0.0,30488,3351
12:40:33,0.0,0.0,2.36,3526031,370.6,0.0,0.0,30635,3351
12:40:38,0.0,0.0,2.24,3526174,374.2,0.0,0.0,32256,3351
12:40:43,0.0,0.0,2.25,3526353,373.8,0.0,0.0,32387,3351
12:40:48,0.32,0.32,2.64,3608042,432.3,35.4,8222.5,32602,3520
12:40:53,0.18,0.18,2.8,3608533,416.5,36.0,136.0,32574,3523
12:40:58,0.12,0.12,3.01,3621702,387.8,43.6,551.3,32622,3532
12:41:03,0.06,0.06,2.68,3628869,473.8,102.8,333.4,32637,3540
12:41:08,0.04,0.04,2.78,3635278,492.3,273.4,164.8,32726,3543
12:41:13,4.57,4.57,2.67,4391531,409.7,88.2,43920.0,33401,4404
12:41:18,10.62,10.62,2.45,5151277,437.9,21.4,88641.6,35255,6164
12:41:23,5.83,5.83,2.97,5151277,371.0,65.4,0.0,35091,6164
12:41:28,3.91,3.91,2.8,5151358,424.9,44.8,0.0,34928,6164
12:41:33,2.14,2.14,2.77,5151359,351.6,22.4,0.0,34800,6164
12:41:38,1.43,1.43,2.99,5151364,403.7,43.6,0.0,34655,6164
12:41:43,0.78,0.78,3.02,5161105,740.5,685.9,0.0,34513,6161
12:41:48,0.52,0.52,3.31,5161108,359.3,3.6,0.0,33997,6161
12:41:53,0.29,0.29,2.93,5161108,374.4,9.2,0.0,34131,6161
12:41:58,0.19,0.19,2.92,5161117,379.1,32.4,0.0,34115,6161
12:42:03,0.1,0.1,2.83,5161117,378.7,30.4,0.0,34064,6161
12:42:08,0.07,0.07,2.74,5161500,394.5,20.0,202.0,34127,6166
12:42:13,0.03,0.03,2.65,5161833,264.2,21.6,91.8,34248,6168
12:42:18,0.02,0.02,16.35,5161934,4541.7,9909.0,0.0,34397,6168
12:42:23,0.01,0.01,37.34,5172037,4296.1,9297.9,0.0,34878,6168
12:42:28,0.0,0.0,25.99,5193955,380.4,39.4,1414.0,34911,6195
12:42:33,0.0,0.0,15.44,5198246,439.3,104.8,276.6,34867,6201
12:42:38,0.0,0.0,11.42,5199492,394.5,68.2,146.2,34834,6204
12:42:43,0.0,0.0,7.5,5201710,382.7,44.6,154.6,34858,6207
12:42:48,0.0,0.0,5.8,5203145,380.8,37.6,55.4,34811,6208
12:42:53,0.0,0.0,4.02,5206932,385.6,42.0,161.0,34810,6222
12:42:58,0.0,0.0,3.36,5209259,379.9,25.6,139.6,34857,6226
12:43:03,0.0,0.0,3.34,5211887,381.7,20.8,172.2,34791,6229
12:43:08,0.0,0.0,3.23,5214479,385.7,43.0,84.6,34813,6231
12:43:13,0.0,0.0,2.7,5216085,378.3,42.6,73.0,34915,6232
12:43:18,0.0,0.0,2.91,5217113,263.5,50.0,41.6,34733,6233
12:43:23,0.0,0.0,2.78,5220769,404.3,102.4,2.0,34855,6233
12:43:28,0.0,0.0,2.85,5221721,367.3,35.2,19.4,34983,6234
12:43:33,0.0,0.0,2.52,5222329,273.8,29.6,5.4,34756,6233
12:43:38,0.0,0.0,2.35,5224362,385.4,66.6,3.6,34673,6233
12:43:43,0.0,0.0,2.67,5225461,302.6,28.0,1.2,34701,6233
12:43:48,0.0,0.0,2.63,5229367,163.2,60.0,0.6,34703,6233
12:43:53,0.0,0.0,1.89,5233331,69.4,59.2,30.6,34602,6233
12:43:58,0.51,0.51,1.93,5310504,94.0,94.4,10533.5,34926,6440
12:44:03,3.01,3.01,1.18,5717014,201.4,163.4,34626.5,35212,6954
12:44:08,2.02,2.02,1.12,5749040,1535.2,2876.5,407.4,35736,6961
12:44:13,1.52,1.52,3.52,5809894,901.6,1262.7,0.0,34755,6960
12:44:18,1.02,1.02,2.54,5809945,38.8,8.8,0.0,33661,6960
12:44:23,0.56,0.56,1.54,5818602,465.7,640.2,0.0,32643,6960
12:44:28,0.37,0.37,1.18,5852549,11.8,8.6,199.2,32683,6964
12:44:33,0.47,0.47,0.64,5891497,8.0,3.4,395.1,31895,6972
12:44:38,0.31,0.31,0.43,5891546,61.0,70.2,0.0,30876,6972
12:44:43,0.17,0.17,0.23,5891557,8.2,7.8,0.0,35337,6972
12:44:48,0.11,0.11,0.15,5891559,10.0,1.6,0.0,34471,6972
12:44:53,0.06,0.06,0.08,5891586,20.4,24.6,0.0,33603,6972
12:44:58,0.04,0.04,0.05,5891595,2.4,2.0,0.0,32788,6972
12:45:03,0.02,0.02,0.03,5891603,21.0,16.6,0.0,31844,6972
12:45:08,0.01,0.01,1.1,5926038,178978.0,20.6,99.4,35985,6972
12:45:13,9.37,9.37,2.59,7249767,235805.4,5.6,1416.7,36012,6996
12:45:18,24.91,24.91,1.73,10106031,56615.8,7.4,174.8,36017,6999
12:45:23,39.66,39.66,0.95,13058738,76121.3,7.0,103.4,36019,7000
12:45:28,38.04,38.04,0.82,14201112,240755.2,1.0,2543.1,36062,7040
12:45:33,21.0,21.0,3.83,14211738,319043.1,1.4,1207.2,36048,7050
12:45:38,20.78,20.78,4.2,15501769,167745.2,117.6,713.3,36155,7054
12:45:43,23.31,23.31,2.81,16737070,256502.8,620.9,7233.9,36224,7181
12:45:48,15.63,15.63,3.65,16753635,391854.8,8.2,1453.9,36214,7208
12:45:53,11.11,11.11,5.37,17352277,200231.0,29.0,896.6,35810,7220
12:45:58,27.22,27.22,3.6,20355239,37452.1,2.2,1053.0,36328,7234
12:46:03,41.37,41.37,1.97,23330036,37062.2,80.4,753.9,36339,7248
12:46:08,51.92,51.92,1.32,27163794,60210.7,33.0,849.2,36349,7264
12:46:13,45.76,45.76,2.28,28599894,243061.7,1152.7,5368.7,36393,7367
12:46:18,30.83,30.83,5.58,28619647,400.7,443.5,0.0,34146,7367
12:46:23,16.92,16.92,12.81,28623807,1478.5,1657.1,0.0,33970,7367
12:46:28,13.52,13.52,19.05,28875540,2326.5,1529.8,242.6,26736,7370
12:46:33,7.42,7.42,18.6,28880119,3295.8,4062.7,0.0,26622,7370
12:46:38,5.34,5.34,30.18,28931166,7341.9,13295.5,0.0,26311,7367
12:46:43,2.93,2.93,26.47,28933812,3795.8,8459.8,0.4,26229,7367
12:46:48,1.96,1.96,19.69,28935578,2277.1,37.6,81.0,26221,7368
12:46:53,1.07,1.07,14.12,28942196,2387.8,203.8,30.2,26234,7368
12:46:58,0.72,0.72,12.25,29005433,2306.5,23.8,102.2,26211,7370
12:47:03,0.9,0.9,10.61,29038876,2101.9,7.8,54.6,26241,7371
12:47:08,2.56,2.56,9.53,29441267,2247.8,227.4,4.6,26149,7371
12:47:13,6.98,6.98,7.67,30143207,2314.0,5.0,0.2,26236,7371
